ElastomerID,PITTagID,FinalID,OldNew,Date,Stream,Reach,SurNum,Primary,Species,Sex,RawLongLoc,CorrLongLoc,Stage,Meso,LatLoc,SubSize,SubType,Metamorph,TailRemoved,TailRegrown,FieldSVL,PhotoSVL,MassMg,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,TailHeight,Photo,Photo2,Photo3,Tissue,Diet,CORT,Notes,Remove,Reason,Action,Last3Digits
GBB1-6O8,NA,GBB1-6O8,N,7/23/2015,Bear,Upper,32,11,GP,NA,113,1013,L,PL,WE,200,R,N,0,0,NA,47.51,2700,12.15,9.46,32.95,8.27,3.17,2.56,NA,NA,(108)210-211,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7,NA,GBB1-7,N,7/13/2013,Bear,Lower,11,4,GP,NA,119,119,L,RF,WE,550,R,N,0,0,NA,34.97,800,9.94,6.22,21.63,5.23,2.25,2.62,NA,NA,104-449-451,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7-8,NA,GBB1-7-8,N,8/7/2013,Bear,Lower,14,5,GP,NA,24,24,A,RF,WE,400,R,N,0,0,NA,79.15,12000,19.3,12.25,50.32,12.77,4.08,3.8,NA,NA,105-142-148,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7O2,NA,GBB1-7O2,N,7/23/2015,Bear,Upper,32,11,GP,NA,120,1020,L,PL,WE,100,R,N,5,5,NA,54.69,4300,14.05,10.56,38.42,9.32,3.48,2.65,NA,NA,(108)212-213,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7O2,GP999002018052296,GBB1-7O2,O,6/21/2018,Bear,Upper,37,13,GP,F,113,1013,A,PL,WE,250,R,N,30,0,NA,71.23,5400,18.28,10.42,49.01,10,4,4.33,NA,NA,1090167,NA,NA,Y,N,NA,B7 not fluorescent,N,NA,NA,296
GBB1-7O3,NA,GBB1-7O3,N,7/23/2015,Bear,Upper,32,11,GP,NA,129,1029,M,PL,T,350,R,Y,5,0,NA,60.92,6300,16.41,11.21,41.69,10.1,4.32,2.97,NA,NA,(108)216-217,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7O4,NA,GBB1-7O4,N,7/23/2015,Bear,Upper,32,11,GP,NA,212,1112,L,RF,T,400,R,N,0,0,NA,45.95,2000,12.98,9.46,30.49,7.98,3.02,2.64,NA,NA,(108)220-221,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7O5,NA,GBB1-7O5,N,7/23/2015,Bear,Upper,32,11,GP,M,221,1121,A,RF,WE,200,R,N,0,0,NA,77.91,9000,20.23,12.36,53.09,11.53,5.63,5.42,NA,NA,(108)222-223,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7O6,NA,GBB1-7O6,N,7/23/2015,Bear,Upper,32,11,GP,F,221,1121,A,RF,WE,300,R,N,0,0,NA,73.37,6700,16.31,10.65,51.04,10.57,5.13,5.58,NA,NA,(108)224-225,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-7O6,NA,GBB1-7O6,O,8/3/2015,Bear,Upper,33,11,GP,NA,221,1121,A,PL,WE,200,R,N,5,0,NA,74.82,6800,19.15,10.92,48.86,10.73,5.29,4.35,NA,NA,(106)535-536,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
